date,open,close,high,low,volume,money,change,adjclose,symbol
2019-12-30,5478.0,5530.0,5530.0,5413.87,143411820.0,140313124864.0,2.11,5530.0,sh000852
2019-12-31,5524.43,5567.03,5567.86,5520.01,132870124.0,132463861760.0,0.87,5567.03,sh000852
2020-01-02,5603.93,5676.56,5682.64,5586.14,178712563.0,176874946560.0,1.73,5676.56,sh000852
2020-01-03,5685.08,5706.04,5717.51,5667.74,179006817.0,178295042048.0,0.88,5706.04,sh000852
2020-01-06,5686.16,5764.73,5803.86,5670.34,208487508.0,203211063296.0,2.34,5764.73,sh000852
2020-01-07,5772.66,5852.36,5852.36,5772.66,203440348.0,201537253376.0,1.38,5852.36,sh000852
2020-01-08,5827.38,5772.47,5858.87,5759.33,218974060.0,213888094208.0,1.7,5772.47,sh000852
2020-01-09,5815.74,5864.18,5864.18,5815.74,186388460.0,187336851456.0,0.84,5864.18,sh000852
2020-01-10,5879.21,5851.89,5885.33,5824.65,169185946.0,173850558464.0,1.03,5851.89,sh000852
2020-01-13,5844.96,5926.72,5926.72,5822.42,160728794.0,172362973184.0,1.78,5926.72,sh000852
2020-01-14,5939.9,5914.11,5948.04,5911.69,176822328.0,184340197376.0,0.61,5914.11,sh000852
2020-01-15,5903.76,5913.52,5920.08,5859.11,160084736.0,165877788672.0,1.03,5913.52,sh000852
2020-01-16,5917.23,5902.13,5934.17,5892.73,147953859.0,162778574848.0,0.7,5902.13,sh000852
2020-01-17,5913.79,5879.41,5927.54,5869.17,142819686.0,157111566336.0,0.99,5879.41,sh000852
2020-01-20,5880.13,5954.87,5954.89,5862.14,148360279.0,167625392128.0,1.58,5954.87,sh000852
2020-01-21,5952.0,5901.86,5952.0,5901.0,156332321.0,172604391424.0,0.86,5901.86,sh000852
2020-01-22,5867.22,5919.59,5942.11,5784.68,162728302.0,180180672512.0,2.67,5919.59,sh000852
2020-01-23,5852.2,5699.01,5897.9,5643.84,184762621.0,199558189056.0,4.29,5699.01,sh000852
2020-02-03,5180.59,5200.16,5227.07,5179.26,84416545.0,82967244800.0,0.84,5200.16,sh000852
2020-02-04,4923.19,5212.1,5234.25,4923.19,238201147.0,217391386624.0,5.98,5212.1,sh000852
2020-02-05,5242.33,5348.34,5414.76,5242.33,207940042.0,211215507456.0,3.31,5348.34,sh000852
2020-02-06,5353.19,5515.64,5538.94,5326.21,218481718.0,221846851584.0,3.98,5515.64,sh000852
2020-02-07,5535.13,5583.6,5588.77,5472.87,226928727.0,234210906112.0,2.1,5583.6,sh000852
2020-02-10,5586.95,5661.56,5662.42,5567.05,218068132.0,225934647296.0,1.71,5661.56,sh000852
2020-02-11,5656.52,5623.26,5666.73,5590.89,188157880.0,190484766720.0,1.34,5623.26,sh000852
2020-02-12,5605.93,5754.26,5754.26,5602.3,202279086.0,212220809216.0,2.7,5754.26,sh000852
2020-02-13,5758.92,5707.53,5782.57,5690.01,221916196.0,234650259456.0,1.61,5707.53,sh000852
2020-02-14,5696.1,5727.83,5783.64,5677.79,199679954.0,213876158464.0,1.85,5727.83,sh000852
2020-02-17,5766.55,5936.48,5936.48,5766.55,228914793.0,242894905344.0,2.97,5936.48,sh000852
2020-02-18,5948.65,6072.19,6072.19,5940.62,254099392.0,275800965120.0,2.22,6072.19,sh000852
2020-02-19,6058.69,6018.05,6113.87,6018.05,259320330.0,289044889600.0,1.58,6018.05,sh000852
2020-02-20,6032.4,6134.39,6135.35,5979.05,248953943.0,271785955328.0,2.6,6134.39,sh000852
2020-02-21,6141.79,6243.48,6278.48,6136.08,277767258.0,310673739776.0,2.32,6243.48,sh000852
2020-02-24,6254.32,6380.41,6399.3,6236.09,298299515.0,343773409280.0,2.61,6380.41,sh000852
2020-02-25,6233.52,6407.14,6420.35,6096.15,348239767.0,395393683456.0,5.08,6407.14,sh000852
2020-02-26,6315.33,6221.84,6388.06,6200.26,327093036.0,348120244224.0,2.93,6221.84,sh000852
2020-02-27,6254.39,6232.09,6321.12,6135.95,268029217.0,282370523136.0,2.98,6232.09,sh000852
2020-02-28,5999.21,5870.97,6091.69,5870.91,284615928.0,287562563584.0,3.54,5870.97,sh000852
2020-03-02,5946.83,6113.41,6143.73,5931.04,245865457.0,253459828736.0,3.62,6113.41,sh000852
2020-03-03,6225.96,6195.89,6322.27,6132.71,294093197.0,307524313088.0,3.1,6195.89,sh000852
2020-03-04,6146.77,6226.53,6231.64,6101.05,254454054.0,255394344960.0,2.11,6226.53,sh000852
2020-03-05,6312.43,6315.83,6327.54,6248.98,296079777.0,291549028352.0,1.26,6315.83,sh000852
